id,book,page_num,chapter,chapter_title,section_title,content_length,has_figures,has_equations,has_references,has_captions,n_drawings,n_raster_images,page_type,img_path,qc_status
952,Fundamental_Neuroscience,451,18,"Target Selection, Topographic Maps, and Synapse Formation",SYNAPSE FORMATION IN THE CENTRAL NERVOUS SYSTEM,4216,t,f,f,t,1,1,mixed,/home/claude/bri610-tutor/data/textbook_images/FN/p0451.jpg,passed
977,Fundamental_Neuroscience,476,19,Programmed Cell Death and Neurotrophic Factors,SECRETION AND AXONAL TRANSPORT OF NEUROTROPHINS AND PRO-NEUROTROPHINS,5283,f,f,f,t,2,0,text,,passed
978,Fundamental_Neuroscience,477,19,Programmed Cell Death and Neurotrophic Factors,SECRETION AND AXONAL TRANSPORT OF NEUROTROPHINS AND PRO-NEUROTROPHINS,5463,f,f,f,t,1,0,text,,passed
980,Fundamental_Neuroscience,479,19,Programmed Cell Death and Neurotrophic Factors,CYTOKINES AND GROWTH FACTORS HAVE MULTIPLE ACTIVITIES,5331,f,f,f,t,2,0,text,,passed
982,Fundamental_Neuroscience,481,19,Programmed Cell Death and Neurotrophic Factors,CYTOKINES AND GROWTH FACTORS HAVE MULTIPLE ACTIVITIES,4710,f,f,f,t,4,0,text,,passed
984,Fundamental_Neuroscience,483,19,Programmed Cell Death and Neurotrophic Factors,CYTOKINES AND GROWTH FACTORS HAVE MULTIPLE ACTIVITIES,2951,t,f,f,t,4,1,mixed,/home/claude/bri610-tutor/data/textbook_images/FN/p0483.jpg,passed
985,Fundamental_Neuroscience,484,19,Programmed Cell Death and Neurotrophic Factors,"PROGRAMMED CELL DEATH IS REGULATED BY INTERACTIONS WITH TARGETS, AFFERENTS, AND NONNEURONAL CELLS",5627,f,f,f,t,2,0,text,,passed
986,Fundamental_Neuroscience,485,19,Programmed Cell Death and Neurotrophic Factors,THE ROLE OF PROGRAMMED CELL DEATH IN NEUROPATHOLOGY,4457,t,f,f,t,2,1,mixed,/home/claude/bri610-tutor/data/textbook_images/FN/p0485.jpg,passed
991,Fundamental_Neuroscience,490,20,Synapse Elimination,OVERVIEW,3624,f,f,f,t,3,0,text,,passed
1456,Fundamental_Neuroscience,955,41,Circadian Timekeeping,A HIERARCHY OF CELL-AUTONOMOUS CIRCADIAN OSCILLATORS,3932,t,f,f,t,2,1,mixed,/home/claude/bri610-tutor/data/textbook_images/FN/p0955.jpg,passed
1458,Fundamental_Neuroscience,957,41,Circadian Timekeeping,THE MOLECULAR BASIS FOR CIRCADIAN OSCILLATION IS A TRANSCRIPTIONAL FEEDBACK LOOP,3064,t,f,f,t,2,1,mixed,/home/claude/bri610-tutor/data/textbook_images/FN/p0957.jpg,passed
1459,Fundamental_Neuroscience,958,41,Circadian Timekeeping,THE MOLECULAR BASIS FOR CIRCADIAN OSCILLATION IS A TRANSCRIPTIONAL FEEDBACK LOOP,3240,t,f,f,t,4,1,mixed,/home/claude/bri610-tutor/data/textbook_images/FN/p0958.jpg,passed
993,Fundamental_Neuroscience,492,20,Synapse Elimination,OVERVIEW,2131,t,f,f,t,5,3,mixed,/home/claude/bri610-tutor/data/textbook_images/FN/p0492.jpg,passed
997,Fundamental_Neuroscience,496,20,Synapse Elimination,A STRUCTURAL ANALYSIS OF SYNAPSE ELIMINATION AT THE NEUROMUSCULAR JUNCTION,5471,f,f,f,t,2,0,text,,passed
998,Fundamental_Neuroscience,497,20,Synapse Elimination,A STRUCTURAL ANALYSIS OF SYNAPSE ELIMINATION AT THE NEUROMUSCULAR JUNCTION,702,t,f,f,t,1,2,mixed,/home/claude/bri610-tutor/data/textbook_images/FN/p0497.jpg,passed
1002,Fundamental_Neuroscience,501,20,Synapse Elimination,A ROLE FOR INTERAXONAL COMPETITION AND ACTIVITY,3416,t,f,f,t,3,1,mixed,/home/claude/bri610-tutor/data/textbook_images/FN/p0501.jpg,passed
1006,Fundamental_Neuroscience,505,20,Synapse Elimination,A ROLE FOR INTERAXONAL COMPETITION AND ACTIVITY,5785,f,f,f,t,1,0,text,,passed
1007,Fundamental_Neuroscience,506,20,Synapse Elimination,A ROLE FOR INTERAXONAL COMPETITION AND ACTIVITY,5680,f,f,f,t,1,0,text,,passed
1460,Fundamental_Neuroscience,959,41,Circadian Timekeeping,THE MOLECULAR BASIS FOR CIRCADIAN OSCILLATION IS A TRANSCRIPTIONAL FEEDBACK LOOP,4518,t,f,f,t,5,1,mixed,/home/claude/bri610-tutor/data/textbook_images/FN/p0959.jpg,passed
